year,month,lead_type,L_0,L_1,L_2,L_3,L_4,L_5,L_6
2024,7,B2B,1530,837,759,130,127,22,29
2024,6,B2B,1471,828,736,132,126,24,26
2024,5,B2B,1345,738,661,126,122,23,23
2024,4,B2B,1276,693,615,175,169,20,22
2024,3,B2B,1237,632,555,171,165,1,1
2024,2,B2B,1178,594,513,141,133,1,1
2024,1,B2B,1127,533,421,141,133,1,1
2024,7,B2C,3507,2288,1789,1787,1787,1538,524
2024,6,B2C,3253,1957,1547,1545,1545,1296,515
2024,5,B2C,3132,2502,1281,1279,1279,1029,506
2024,4,B2C,3003,2271,1273,1271,1271,1022,501
2024,3,B2C,3120,2752,1343,1341,1341,1092,133
2024,2,B2C,3281,3022,2407,2406,2406,2157,131
2024,1,B2C,3282,2912,2233,935,935,686,116
